order_id,product_id,store_id,order_date,order_date_2,sales,revenue,stock,price,promo_type_1,promo_bin_1,promo_type_2,promo_bin_2,promo_discount_2,delivery_date_format1,delivery_date_format2
18117,P0129,S0030,1/1/2018,1-Jan-18,0,0,3,24.95,PR14,,PR03,,NA,1/4/2018,4/1/2018
18118,P0513,S0108,1/1/2018,1-Jan-18,0,0,6,15,PR14,,PR03,,NA,1/4/2018,4/1/2018
18119,P0229,S0069,1/1/2018,1-Jan-18,0,0,3,7.95,PR14,,PR03,,NA,1/4/2018,4/1/2018
18120,P0275,S0065,1/1/2018,1-Jan-18,0,0,39,2.45,PR14,,PR03,,NA,1/5/2018,5/1/2018
18121,P0427,S0098,1/1/2018,1-Jan-18,0,0,1,NA,PR14,,PR03,,NA,1/2/2018,2/1/2018
18122,P0448,S0002,1/1/2018,1-Jan-18,1,3.75,28,4.05,PR14,,PR03,,NA,1/2/2018,2/1/2018
18123,P0602,S0142,1/1/2018,1-Jan-18,0,0,4,10.9,PR14,,PR03,,NA,1/3/2018,3/1/2018
18124,P0510,S0002,1/1/2018,1-Jan-18,1,18.98,7,20.5,PR14,,PR03,,NA,1/2/2018,2/1/2018
18125,P0275,S0078,1/1/2018,1-Jan-18,0,0,34,2.45,PR14,,PR03,,NA,1/3/2018,3/1/2018
18126,P0655,S0096,1/1/2018,1-Jan-18,0,0,15,59.9,PR14,,PR03,,NA,1/3/2018,3/1/2018
18127,P0283,S0083,1/1/2018,1-Jan-18,0,0,10,23.5,PR14,,PR03,,NA,1/2/2018,2/1/2018
18128,P0602,S0029,1/1/2018,1-Jan-18,0,0,8,NA,PR14,,PR03,,NA,1/5/2018,5/1/2018
18129,P0579,S0060,1/1/2018,1-Jan-18,0,0,12,3.5,PR14,,PR03,,NA,1/2/2018,2/1/2018
18130,P0382,S0065,1/1/2018,1-Jan-18,1,16.91,6,19.95,PR14,,PR03,,NA,1/3/2018,3/1/2018
18131,P0608,S0094,1/1/2018,1-Jan-18,0,0,11,9.9,PR14,,PR03,,NA,1/3/2018,3/1/2018
18132,P0296,S0078,1/1/2018,1-Jan-18,0,0,10,0.75,PR14,,PR03,,NA,1/4/2018,4/1/2018
18133,P0234,S0023,1/1/2018,1-Jan-18,0,0,4,104.9,PR14,,PR03,,NA,1/3/2018,3/1/2018
