order_id,product_id,store_id,order_date,order_date_2,sales,revenue,stock,price,promo_type_1,promo_bin_1,promo_type_2,promo_bin_2,promo_discount_2,delivery_date_format1,delivery_date_format2
40911,P0392,S0001,1/1/2019,1-Jan-19,0,0,3,124.99,PR14,,PR03,,NA,1/3/2019,3/1/2019
40912,P0018,S0071,1/1/2019,1-Jan-19,0,0,4,3.25,PR03,verylow,PR03,,NA,1/3/2019,3/1/2019
40913,P0565,S0096,1/1/2019,1-Jan-19,0,0,12,4.25,PR14,,PR03,,NA,1/4/2019,4/1/2019
40914,P0372,S0121,1/1/2019,1-Jan-19,0,0,24,4.9,PR14,,PR03,,NA,1/3/2019,3/1/2019
40915,P0543,S0101,1/1/2019,1-Jan-19,2,7.41,11,4,PR14,,PR03,,NA,1/5/2019,5/1/2019
40916,P0286,S0046,1/1/2019,1-Jan-19,0,0,71,1.45,PR14,,PR03,,NA,1/3/2019,3/1/2019
40917,P0428,S0085,1/1/2019,1-Jan-19,3,83.19,4,29.95,PR14,,PR03,,NA,1/2/2019,2/1/2019
40918,P0171,S0079,1/1/2019,1-Jan-19,0,0,5,15.9,PR14,,PR03,,NA,1/3/2019,3/1/2019
40919,P0125,S0084,1/1/2019,1-Jan-19,0,0,7,3.25,PR03,verylow,PR03,,NA,1/4/2019,4/1/2019
40920,P0500,S0103,1/1/2019,1-Jan-19,0,0,8,12,PR14,,PR03,,NA,1/3/2019,3/1/2019
40921,P0399,S0125,1/1/2019,1-Jan-19,0,0,4,5.5,PR14,,PR03,,NA,1/3/2019,3/1/2019
40922,P0499,S0093,1/1/2019,1-Jan-19,0,0,26,0.9,PR14,,PR03,,NA,1/2/2019,2/1/2019
40923,P0663,S0058,1/1/2019,1-Jan-19,0,0,60,5.75,PR14,,PR03,,NA,1/5/2019,5/1/2019
40924,P0141,S0052,1/1/2019,1-Jan-19,0,0,24,2.75,PR14,,PR03,,NA,1/2/2019,2/1/2019
40925,P0536,S0038,1/1/2019,1-Jan-19,0,0,43,4.1,PR14,,PR03,,NA,1/2/2019,2/1/2019
